link;price;title;title_short;annotation;diameter;width;et;pcd;type;dia;retail_price;brand;img;img_full;seller
https://baza.drom.ru/chita/wheel/disc/new-prodrive-gc-05f-55388500.html;21999;New! Prodrive GC-05F;Prodrive GC-05F;"9.0x17"", 5x114.30, ET30, ЦО 73,1мм.";"17""";"9.0""";30мм;114.30x5;Литой;73,1 мм.;26999;ProDrive;https://static.baza.farpost.ru/drom/1504915851736_bulletin;https://static.baza.farpost.ru/drom/1504915851736_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-weld-57580724.html;25999;Комплект дисков Weld;Weld;"9.5/10.5x18"", 5x114.30, ET25/30, ЦО 73,1мм.";"18""";"9.5/10.5""";25/30мм;114.30x5;Литой;73,1 мм.;30999;Weld;https://static.baza.farpost.ru/drom/1506740120850_bulletin;https://static.baza.farpost.ru/drom/1506740120850_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-62494545.html;33000;Комплект дисков;;"9.0x19"", 5x112.00, ET35, ЦО 73,1мм.";"19""";"9.0""";35мм;112.00x5;Литой;73,1 мм.;43000;Wheelegend;https://static.baza.farpost.ru/drom/1523424812415_bulletin;https://static.baza.farpost.ru/drom/1523424812415_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-work-emotion-cr-kiwami-64214415.html;21999;New! Work Emotion Cr-Kiwami;Work Emotion Cr-Kiwami;"8.0/9.0x17"", 5x100.00, 5x114.30, ET35/28, ЦО 73,1мм.";"17""";"8.0/9.0""";35/28мм;100.00x5,114.30x5;Литой;73,1 мм.;26999;Work;https://static.baza.farpost.ru/drom/1528974556597_bulletin;https://static.baza.farpost.ru/drom/1528974556597_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-komplekt-weds-59572290.html;21999;New! Комплект Weds;Weds;"9.0x17"", 5x100.00, ET30, ЦО 73,1мм.";"17""";"9.0""";30мм;100.00x5;Литой;73,1 мм.;26999;Weds;https://static.baza.farpost.ru/drom/1524749663708_bulletin;https://static.baza.farpost.ru/drom/1524749663708_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-prodrive-gc-05f-60271686.html;21999;New! Prodrive GC-05F;Prodrive GC-05F;"8.0x17"", 5x114.30, ET35, ЦО 73,1мм.";"17""";"8.0""";35мм;114.30x5;Литой;73,1 мм.;26999;ProDrive;https://static.baza.farpost.ru/drom/1511757422164_bulletin;https://static.baza.farpost.ru/drom/1511757422164_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-work-emotion-cr-kiwami-62259851.html;26999;New! Work Emotion Cr-Kiwami;Work Emotion Cr-Kiwami;"8.5x18"", 5x100.00, 5x114.30, ET35, ЦО 73,1мм.";"18""";"8.5""";35мм;100.00x5,114.30x5;Литой;73,1 мм.;31999;Work;https://static.baza.farpost.ru/drom/1524780657633_bulletin;https://static.baza.farpost.ru/drom/1524780657633_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-rays-te37-62608202.html;21999;Комплект дисков Rays te37;Rays te37;"9.0x17"", 5x114.30, ET42, ЦО 73,1мм.";"17""";"9.0""";42мм;114.30x5;Литой;73,1 мм.;26999;RAYS;https://static.baza.farpost.ru/drom/1523782832061_bulletin;https://static.baza.farpost.ru/drom/1523782832061_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-work-62675082.html;26999;Комплект дисков Work;Work;"9.5x18"", 5x114.30, ET25, ЦО 73,1мм.";"18""";"9.5""";25мм;114.30x5;Литой;73,1 мм.;31999;Work;https://static.baza.farpost.ru/drom/1524388365788_bulletin;https://static.baza.farpost.ru/drom/1524388365788_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-rays-ce28-62851438.html;17999;Комплект дисков Rays CE28;Rays CE28;"7.0x16"", 4x98.00, 4x100.00, ET30, ЦО 73,1мм.";"16""";"7.0""";30мм;98.00x4,100.00x4;Литой;73,1 мм.;22999;RAYS;https://static.baza.farpost.ru/drom/1524526118779_bulletin;https://static.baza.farpost.ru/drom/1524526118779_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-xxr-527-64874635.html;26999;Комплект дисков XXR 527;XXR 527;"9.5x18"", 5x100.00, 5x114.30, ET30, ЦО 73,1мм.";"18""";"9.5""";30мм;100.00x5,114.30x5;Литой;73,1 мм.;31999;XXR;https://static.baza.farpost.ru/drom/1480394589617_bulletin;https://static.baza.farpost.ru/drom/1480394589617_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-shogun-a1-64902601.html;26999;New! Shogun A1;Shogun A1;"8.5x18"", 5x114.30, ET35, ЦО 73,1мм.";"18""";"8.5""";35мм;114.30x5;Литой;73,1 мм.;31999;Shogun;https://static.baza.farpost.ru/drom/1531378152479_bulletin;https://static.baza.farpost.ru/drom/1531378152479_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-work-64914632.html;24999;Комплект дисков Work;Work;"9.5x18"", 5x100.00, 5x114.30, ET20, ЦО 73,1мм.";"18""";"9.5""";20мм;100.00x5,114.30x5;Литой;73,1 мм.;29999;Work;https://static.baza.farpost.ru/drom/1491633952006_bulletin;https://static.baza.farpost.ru/drom/1491633952006_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-vossen-vfs1-inforged-62458885.html;21999;Комплект дисков Vossen VFS1 inforged;Vossen VFS1 inforged;"7.5x17"", 5x100.00, ET40, ЦО 73,1мм.";"17""";"7.5""";40мм;100.00x5;Литой;73,1 мм.;26999;Vossen;https://static.baza.farpost.ru/drom/1523775752369_bulletin;https://static.baza.farpost.ru/drom/1523775752369_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-work-emotion-cr2p-62602095.html;26999;Комплект дисков Work Emotion CR2P;Work Emotion CR2P;"9.5x18"", 5x100.00, 5x114.30, ET22, ЦО 73,1мм.";"18""";"9.5""";22мм;100.00x5,114.30x5;Литой;73,1 мм.;31999;Work;https://static.baza.farpost.ru/drom/1523767762778_bulletin;https://static.baza.farpost.ru/drom/1523767762778_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-komplekt-diskov-work-t7r-62811692.html;26999;New! Комплект дисков Work T7R;Work T7R;"8.5x18"", 5x114.30, ET33, ЦО 73,1мм.";"18""";"8.5""";33мм;114.30x5;Литой;73,1 мм.;31999;Work;https://static.baza.farpost.ru/drom/1524398057634_bulletin;https://static.baza.farpost.ru/drom/1524398057634_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-work-62983043.html;26999;Комплект дисков Work;Work;"8.5/9.5x18"", 5x114.30, ET33/25, ЦО 73,1мм.";"18""";"8.5/9.5""";33/25мм;114.30x5;Литой;73,1 мм.;31999;Work;https://static.baza.farpost.ru/drom/1524388365788_bulletin;https://static.baza.farpost.ru/drom/1524388365788_default;Replika777
